date,clones,unique_cloners
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,0,0
2026-08-09,0,0
2026-08-10,0,0
2026-08-11,0,0
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,0,0
2026-08-18,0,0
2026-08-19,0,0
2026-08-20,7,4
2026-08-21,7,4
2026-08-22,12,9
2026-08-23,9,6
2026-08-24,5,2
2026-08-25,6,3
2026-08-26,4,3
2026-08-27,7,4
2026-08-28,10,6
2026-08-29,13,7
2026-08-30,6,3
2026-08-31,16,6
2026-09-01,14,7
2026-09-02,11,4
2026-09-03,16,5
2026-09-04,10,3
2026-09-05,12,5
2026-09-06,11,3
2026-09-07,16,6
2026-09-08,15,8
2026-09-09,13,6
2026-09-10,12,5
2026-09-11,7,2
2026-09-12,30,15
2026-09-13,45,24
2026-09-14,22,11
